id,file,symbol,lines,occurrences,category,owner,migration_decision
P01-0001,Authoring/NavigationAgentProfile.cs,Mathf,66;67;68;69,4,unity_authoring_boundary,authoring,retain_serialized_Unity_types_convert_once
P01-0002,Authoring/NavigationAgentProfile.cs,float,15;17;19;21;35;36;37;38;45;58,10,unity_authoring_boundary,authoring,retain_serialized_Unity_types_convert_once
P01-0003,Authoring/NavigationAreaCatalog.cs,Mathf,47,1,unity_authoring_boundary,authoring,retain_serialized_Unity_types_convert_once
P01-0004,Authoring/NavigationAreaCatalog.cs,float,18;26;34,3,unity_authoring_boundary,authoring,retain_serialized_Unity_types_convert_once
P01-0005,Authoring/NavigationAuthoringTypes.cs,Mathf,246;248;254;255;256;257;258;259;260;261;262;263;281,13,unity_authoring_boundary,authoring,retain_serialized_Unity_types_convert_once
P01-0006,Authoring/NavigationAuthoringTypes.cs,float,163;165;171;173;175;177;179;181;185;186;189;190;191;192;193;194;200;239;273;277,20,unity_authoring_boundary,authoring,retain_serialized_Unity_types_convert_once
P01-0007,Authoring/NavigationHighlightSettings.cs,float,207;222,2,unity_authoring_boundary,authoring,retain_serialized_Unity_types_convert_once
P01-0008,Authoring/NavigationLevel.cs,Mathf,164;165;166;167;168;169;170;171;172,9,unity_authoring_boundary,authoring,retain_serialized_Unity_types_convert_once
P01-0009,Authoring/NavigationLevel.cs,Vector3,161;162;163,3,unity_authoring_boundary,authoring,retain_serialized_Unity_types_convert_once
P01-0010,Authoring/NavigationLink.cs,Mathf,47;48;94,3,unity_authoring_boundary,authoring,retain_serialized_Unity_types_convert_once
P01-0011,Authoring/NavigationLink.cs,Vector3,15;17;29;30;73;74;80;86;87;90;102;104,12,unity_authoring_boundary,authoring,retain_serialized_Unity_types_convert_once
P01-0012,Authoring/NavigationLink.cs,float,21;23;32;33;94;102,6,unity_authoring_boundary,authoring,retain_serialized_Unity_types_convert_once
P01-0013,Authoring/NavigationModifierVolume.cs,Mathf,28;29;30,3,unity_authoring_boundary,authoring,retain_serialized_Unity_types_convert_once
P01-0014,Authoring/NavigationModifierVolume.cs,Vector3,15;17;22;23,4,unity_authoring_boundary,authoring,retain_serialized_Unity_types_convert_once
